scenario,period,year_min,year_max,gcm,crop,crop_label,mode,mode_label,hazard,hazard_label,n_years,loss_pct,loss_million_tonnes,prod_nws_million_tonnes,expected_years
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,total,Total,wet,Waterlogging stress,31,5.79762250772463,12.273049445506322,208.93597980055668,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,10.407063041990838,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,Irr,Irrigated,total,Total water stress,31,8.025544428190447,0.8376393560418733,10.407063041990838,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,10.407063041990838,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,31,2.228279535125648,2.9942109866048545,134.77250224049902,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,31,3.0228850666695486,4.069660736936153,134.77250224049902,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,31,1.088145570890203,1.467997620978965,134.77250224049902,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,total,Total,dry,Drought stress,31,2.0676887951448832,2.9942109866048545,145.17956528248985,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,total,Total,total,Total water stress,31,3.3850725587096986,4.907300092978026,145.17956528248985,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,soyb,Soybean,total,Total,wet,Waterlogging stress,31,1.0100650316105,1.467997620978965,145.17956528248985,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,16.08377541801274,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,Irr,Irrigated,total,Total water stress,31,4.991638711466641,0.803674841959038,16.08377541801274,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,16.08377541801274,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,nonIrr,Rainfed,dry,Drought stress,31,4.252634741768435,16.165829361047646,380.05139095534156,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,nonIrr,Rainfed,total,Total water stress,31,4.320246218086833,16.422074354350023,380.05139095534156,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,31,0.42976925241076125,1.6320850304265806,380.05139095534156,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,total,Total,dry,Drought stress,31,4.080150334277543,16.165829361047646,396.13516637335437,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,total,Total,total,Total water stress,31,4.347584390971319,17.22574919630906,396.13516637335437,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,whea,Wheat,total,Total,wet,Waterlogging stress,31,0.41236326561855097,1.6320850304265806,396.13516637335437,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,234.7640160444625,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,Irr,Irrigated,total,Total water stress,31,6.443999100078767,15.149825021765063,234.7640160444625,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,234.7640160444625,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,31,3.243832785817757,33.96401686801055,1043.573778430259,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,nonIrr,Rainfed,total,Total water stress,31,4.7264998785909675,49.49948919137595,1043.573778430259,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,31,2.1576155711782605,22.623913956347025,1043.573778430259,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,total,Total,dry,Drought stress,31,2.647890670663331,33.96401686801055,1278.337794474721,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,total,Total,total,Total water stress,31,5.041760943192387,64.64931421314101,1278.337794474721,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,all4,All four crops,total,Total,wet,Waterlogging stress,31,1.761332540734793,22.623913956347025,1278.337794474721,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,123.5839014045923,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,Irr,Irrigated,total,Total water stress,31,8.44451371475222,10.454417439068639,123.5839014045923,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,123.5839014045923,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,31,3.141421907280563,12.757596193743732,404.91216851349554,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,nonIrr,Rainfed,total,Total water stress,31,4.585061369593821,18.608928270699472,404.91216851349554,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,31,1.9077586170045233,7.732607702436573,404.91216851349554,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,total,Total,dry,Drought stress,31,2.4062891995091324,12.757596193743732,528.4960699180878,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,total,Total,total,Total water stress,31,5.487270026688129,29.06334570976811,528.4960699180878,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,maiz,Maize,total,Total,wet,Waterlogging stress,31,1.4619579877119313,7.732607702436573,528.4960699180878,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,84.79656852067629,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,Irr,Irrigated,total,Total water stress,31,3.721626653629299,3.1602926414870014,84.79656852067629,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,84.79656852067629,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,nonIrr,Rainfed,dry,Drought stress,31,2.991423676239605,3.745127002020608,123.03660005917786,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,nonIrr,Rainfed,total,Total water stress,31,9.666689666241878,11.963616415809234,123.03660005917786,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,31,9.40703375523954,11.64640407228121,123.03660005917786,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,total,Total,dry,Drought stress,31,1.7665217973197238,3.745127002020608,207.8331685798541,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,total,Total,total,Total water stress,31,7.228868595213529,15.123909057296236,207.8331685798541,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,rice,Rice,total,Total,wet,Waterlogging stress,31,5.542553209767145,11.64640407228121,207.8331685798541,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,10.362351829333162,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,Irr,Irrigated,total,Total water stress,31,7.906250898762933,0.8222728377531229,10.362351829333162,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,10.362351829333162,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,31,2.1934404651614545,2.965375760979835,135.11188301295493,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,31,3.064068651591537,4.144126890969364,135.11188301295493,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,31,1.1744356920653094,1.590058261332533,135.11188301295493,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,total,Total,dry,Drought stress,31,2.035949670004213,2.965375760979835,145.474234842288,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,total,Total,total,Total water stress,31,3.41113711661995,4.966399728722486,145.474234842288,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,soyb,Soybean,total,Total,wet,Waterlogging stress,31,1.090771816016957,1.590058261332533,145.474234842288,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,16.021194289860805,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,Irr,Irrigated,total,Total water stress,31,4.441647594136479,0.7128421034562995,16.021194289860805,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,16.021194289860805,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,nonIrr,Rainfed,dry,Drought stress,31,3.805852177777477,14.495917911266384,380.5131268446304,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,nonIrr,Rainfed,total,Total water stress,31,3.8809593871130845,14.782817613897882,380.5131268446304,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,31,0.43421407582907345,1.6548439202967091,380.5131268446304,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,total,Total,dry,Drought stress,31,3.6515641803835943,14.495917911266384,396.5343211344913,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,total,Total,total,Total water stress,31,3.903070150174358,15.495659717354181,396.5343211344913,31
ssp126,future_2070_2100,2070,2100,CNRM-ESM2-1,whea,Wheat,total,Total,wet,Waterlogging stress,31,0.41669008774383676,1.6548439202967091,396.5343211344913,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,234.42907351929065,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,Irr,Irrigated,total,Total water stress,31,5.959748922454994,13.955634782728065,234.42907351929065,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,234.42907351929065,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,31,2.5543558166501965,26.728256637578777,1045.707669953762,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,nonIrr,Rainfed,total,Total water stress,31,4.22777027549956,44.30116581620938,1045.707669953762,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,31,2.2800013748269032,23.93870353131489,1045.707669953762,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,total,Total,dry,Drought stress,31,2.086664603825254,26.728256637578777,1280.1367434730523,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,total,Total,total,Total water stress,31,4.5443959974712005,58.25680059893744,1280.1367434730523,31
ssp126,future_2070_2100,2070,2100,CanESM5,all4,All four crops,total,Total,wet,Waterlogging stress,31,1.8625635034898256,23.93870353131489,1280.1367434730523,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,123.43623379804939,31
