scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,loss_pct,30,30,0.9329525142369164,0.9299905760823581,0.6001596606023956,1.2657453678714372,0.933 ? 0.930 (0.600-1.266)
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,30,30,1.1749637906907464,1.1109730684913472,0.7774071839003638,1.572520397481129,1.175 ? 1.111 (0.777-1.573)
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,loss_pct,30,30,1.4180891032318281,0.9342515861021697,1.0837714667443112,1.752406739719345,1.418 ? 0.934 (1.084-1.752)
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,30,30,1.7901680775860893,1.1138307176075861,1.3915888741925395,2.188747280979639,1.790 ? 1.114 (1.392-2.189)
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,30,30,0.40780980068509837,0.22180785962247282,0.32843687749561545,0.4871827238745813,0.408 ? 0.222 (0.328-0.487)
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,30,30,0.5162572260500153,0.27581425276736216,0.4175583632742329,0.6149560888257978,0.516 ? 0.276 (0.418-0.615)
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,dry,Drought stress,loss_pct,30,30,0.8650706515295141,0.854456211887956,0.5593074229839019,1.1708338800751263,0.865 ? 0.854 (0.559-1.171)
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,dry,Drought stress,loss_million_tonnes,30,30,1.1749637906907464,1.1109730684913472,0.7774071839003638,1.572520397481129,1.175 ? 1.111 (0.777-1.573)
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,total,Total water stress,loss_pct,30,30,1.501417091248841,0.9113569473718646,1.1752921960126232,1.8275419864850586,1.501 ? 0.911 (1.175-1.828)
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,total,Total water stress,loss_million_tonnes,30,30,2.0419224697590175,1.1800488593751368,1.6196474086568549,2.4641975308611803,2.042 ? 1.180 (1.620-2.464)
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,wet,Waterlogging stress,loss_pct,30,30,0.3787363090934709,0.20518728378263285,0.30531098258404243,0.45216163560289935,0.379 ? 0.205 (0.305-0.452)
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,wet,Waterlogging stress,loss_million_tonnes,30,30,0.5162572260500153,0.27581425276736216,0.4175583632742329,0.6149560888257978,0.516 ? 0.276 (0.418-0.615)
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,dry,Drought stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,total,Total water stress,loss_pct,30,30,1.010402166226615,0.3019523850266351,0.9023498929465205,1.1184544395067095,1.010 ? 0.302 (0.902-1.118)
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,total,Total water stress,loss_million_tonnes,30,30,1.2010749629883606,0.36383163736660423,1.0708794836408044,1.3312704423359167,1.201 ? 0.364 (1.071-1.331)
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,wet,Waterlogging stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,dry,Drought stress,loss_pct,30,30,1.3278088043411345,0.4819298136404492,1.1553524353652462,1.5002651733170227,1.328 ? 0.482 (1.155-1.500)
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,30,30,11.470068389135015,4.14667228592917,9.986200768739536,12.953936009530494,11.470 ? 4.147 (9.986-12.954)
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,total,Total water stress,loss_pct,30,30,1.4424468818727272,0.4793539705444371,1.270912266510782,1.6139814972346724,1.442 ? 0.479 (1.271-1.614)
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,30,30,12.461874400704401,4.122523763727093,10.986648217998042,13.93710058341076,12.462 ? 4.123 (10.987-13.937)
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,30,30,0.1938530589719089,0.06758940480577616,0.1696665010870674,0.2180396168567504,0.194 ? 0.068 (0.170-0.218)
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,30,30,1.6756812669659458,0.5817179232405776,1.4675161815721827,1.8838463523597089,1.676 ? 0.582 (1.468-1.884)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,dry,Drought stress,loss_pct,30,30,1.1672579607888192,0.4231296132842119,1.0158429732786083,1.31867294829903,1.167 ? 0.423 (1.016-1.319)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,dry,Drought stress,loss_million_tonnes,30,30,11.470068389135015,4.14667228592917,9.986200768739536,12.953936009530494,11.470 ? 4.147 (9.986-12.954)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,total,Total water stress,loss_pct,30,30,1.3902759057955303,0.4419803875760583,1.2321152553386785,1.548436556252382,1.390 ? 0.442 (1.232-1.548)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,total,Total water stress,loss_million_tonnes,30,30,13.662949363692762,4.328168942516728,12.114133998853097,15.211764728532428,13.663 ? 4.328 (12.114-15.212)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,wet,Waterlogging stress,loss_pct,30,30,0.17043694557190023,0.05937644799028093,0.14918935653867826,0.1916845346051222,0.170 ? 0.059 (0.149-0.192)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,wet,Waterlogging stress,loss_million_tonnes,30,30,1.6756812669659458,0.5817179232405776,1.4675161815721827,1.8838463523597089,1.676 ? 0.582 (1.468-1.884)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_pct,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_pct,10,10,6.112765066427341,0.3415942898720615,5.901042732053455,6.324487400801228,6.113 ? 0.342 (5.901-6.324)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_million_tonnes,10,10,14.38055092835333,0.7936803014306509,13.88862278099348,14.87247907571318,14.381 ? 0.794 (13.889-14.872)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_pct,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_pct,10,10,2.951040196346465,0.4426136931283669,2.676705387149032,3.2253750055438988,2.951 ? 0.443 (2.677-3.225)
