scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,dry,Drought stress,loss_pct,1,1.3278088043411347,,,,1.328
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,1,11.470068389135015,,,,11.470
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,total,Total water stress,loss_pct,1,1.4424468818727274,,,,1.442
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,1,12.461874400704403,,,,12.462
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,1,0.19385305897190894,,,,0.194
historical,historical_1990_2019,1990,2019,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,1,1.6756812669659458,,,,1.676
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,dry,Drought stress,loss_pct,1,1.1672579607888192,,,,1.167
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,dry,Drought stress,loss_million_tonnes,1,11.470068389135015,,,,11.470
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,total,Total water stress,loss_pct,1,1.3902759057955303,,,,1.390
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,total,Total water stress,loss_million_tonnes,1,13.662949363692762,,,,13.663
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,wet,Waterlogging stress,loss_pct,1,0.17043694557190026,,,,0.170
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,wet,Waterlogging stress,loss_million_tonnes,1,1.6756812669659458,,,,1.676
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_pct,10,6.112765066427341,0.34159428987206153,5.901042732053455,6.324487400801228,6.113 ± 0.342 (5.901-6.324)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_million_tonnes,10,14.38055092835333,0.7936803014306509,13.88862278099348,14.87247907571318,14.381 ± 0.794 (13.889-14.872)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_pct,10,2.951040196346465,0.4426136931283669,2.6767053871490316,3.2253750055438988,2.951 ± 0.443 (2.677-3.225)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,10,30.830769421706417,4.613655544017849,27.97119608942873,33.690342753984105,30.831 ± 4.614 (27.971-33.690)
