scenario,gcm,crop,hazard,fut_anchor,hist_anchor,bias_offset
ssp585,GFDL-ESM4,soyb,wet,0.28438937749235776,0.6392512212689226,0.3548618437765649
ssp585,GFDL-ESM4,whea,dry,3.514228703525898,1.544677140010987,-1.969551563514911
ssp585,GFDL-ESM4,whea,wet,0.05152570085709006,0.20894466264059597,0.1574189617835059
ssp585,MIROC6,maiz,dry,1.011384925225307,1.227975369268972,0.216590444043665
ssp585,MIROC6,maiz,wet,0.470232799987345,0.5909455911892417,0.12071279120189671
ssp585,MIROC6,rice,dry,0.3980513327219495,0.22202160235099372,-0.17602973037095576
ssp585,MIROC6,rice,wet,1.379880604905642,1.5539773327728472,0.1740967278672052
ssp585,MIROC6,soyb,dry,0.9797557011982526,0.745886796197771,-0.23386890500048163
ssp585,MIROC6,soyb,wet,0.3985045375548822,0.6392512212689226,0.24074668371404045
ssp585,MIROC6,whea,dry,1.7261415623633123,1.544677140010987,-0.18146442235232518
ssp585,MIROC6,whea,wet,0.07205375282370402,0.20894466264059597,0.13689090981689195
ssp585,MPI-ESM1-2-HR,maiz,dry,0.9741060155467544,1.227975369268972,0.25386935372221775
ssp585,MPI-ESM1-2-HR,maiz,wet,0.5319407171869266,0.5909455911892417,0.05900487400231513
ssp585,MPI-ESM1-2-HR,rice,dry,0.3389353747324407,0.22202160235099372,-0.11691377238144696
