crop,hazard,year,value,q25,q75,scenario,n_gcm,value_smooth,q25_smooth,q75_smooth
rice,wet,2005,0.315625726902088,0.315625726902088,0.315625726902088,historical,1,0.7121690301485998,0.7121690301485998,0.7121690301485998
rice,wet,2006,0.7560073270883617,0.7560073270883617,0.7560073270883617,historical,1,0.9435506067034757,0.9435506067034757,0.9435506067034757
rice,wet,2007,1.3754019676200018,1.3754019676200018,1.3754019676200018,historical,1,1.011648769435888,1.011648769435888,1.011648769435888
rice,wet,2008,1.617838447979898,1.617838447979898,1.617838447979898,historical,1,1.105162392841797,1.105162392841797,1.105162392841797
rice,wet,2009,0.993370377589091,0.993370377589091,0.993370377589091,historical,1,1.2628939928269451,1.2628939928269451,1.2628939928269451
rice,wet,2010,0.7831938439316328,0.7831938439316328,0.7831938439316328,historical,1,1.166334574612809,1.166334574612809,1.166334574612809
rice,wet,2011,1.5446653270141026,1.5446653270141026,1.5446653270141026,historical,1,1.0443425350941142,1.0443425350941142,1.0443425350941142
rice,wet,2012,0.8926048765493211,0.8926048765493211,0.8926048765493211,historical,1,0.9650822415831133,0.9650822415831133,0.9650822415831133
rice,wet,2013,1.007878250386424,1.007878250386424,1.007878250386424,historical,1,0.9754505217726596,0.9754505217726596,0.9754505217726596
rice,wet,2014,0.597068910034085,0.597068910034085,0.597068910034085,historical,1,0.889177435678917,0.889177435678917,0.889177435678917
rice,wet,2015,0.8350352448793646,0.8350352448793646,0.8350352448793646,historical,1,1.2955233867783145,1.2955233867783145,1.2955233867783145
rice,wet,2016,1.1132998965453909,1.1132998965453909,1.1132998965453909,historical,1,1.4518232458393794,1.4518232458393794,1.4518232458393794
rice,wet,2017,2.9243346320463077,2.9243346320463077,2.9243346320463077,historical,1,1.5539773327728472,1.5539773327728472,1.5539773327728472
rice,wet,2018,1.789377545691749,1.789377545691749,1.789377545691749,historical,1,1.733712854746218,1.733712854746218,1.733712854746218
rice,wet,2019,1.1078393447014243,1.1078393447014243,1.1078393447014243,historical,1,1.9405171741464935,1.9405171741464935,1.9405171741464935
soyb,dry,1980,1.2924153283294002,1.2924153283294002,1.2924153283294002,historical,1,0.601842598911195,0.601842598911195,0.601842598911195
soyb,dry,1981,0.2554138565504521,0.2554138565504521,0.2554138565504521,historical,1,0.7650103715935574,0.7650103715935574,0.7650103715935574
soyb,dry,1982,0.2576986118537325,0.2576986118537325,0.2576986118537325,historical,1,0.7666617934606336,0.7666617934606336,0.7666617934606336
soyb,dry,1983,1.2545136896406448,1.2545136896406448,1.2545136896406448,historical,1,0.6924497653846655,0.6924497653846655,0.6924497653846655
soyb,dry,1984,0.7732674809289382,0.7732674809289382,0.7732674809289382,historical,1,0.6895384166131773,0.6895384166131773,0.6895384166131773
soyb,dry,1985,0.9213551879495604,0.9213551879495604,0.9213551879495604,historical,1,0.8050459808474913,0.8050459808474913,0.8050459808474913
soyb,dry,1986,0.2408571126930111,0.2408571126930111,0.2408571126930111,historical,1,1.5651433832598296,1.5651433832598296,1.5651433832598296
soyb,dry,1987,0.8352364330253026,0.8352364330253026,0.8352364330253026,historical,1,1.6666726120729005,1.6666726120729005,1.6666726120729005
soyb,dry,1988,5.055000701702336,5.055000701702336,5.055000701702336,historical,1,1.510330047319524,1.510330047319524,1.510330047319524
soyb,dry,1989,1.2809136249942934,1.2809136249942934,1.2809136249942934,historical,1,1.7422167387179854,1.7422167387179854,1.7422167387179854
soyb,dry,1990,0.1396423641826778,0.1396423641826778,0.1396423641826778,historical,1,1.672826045683107,1.672826045683107,1.672826045683107
soyb,dry,1991,1.400290569685317,1.400290569685317,1.400290569685317,historical,1,0.6948811509824259,0.6948811509824259,0.6948811509824259
soyb,dry,1992,0.4882829678509113,0.4882829678509113,0.4882829678509113,historical,1,0.5416813333729401,0.5416813333729401,0.5416813333729401
soyb,dry,1993,0.1652762281989296,0.1652762281989296,0.1652762281989296,historical,1,0.5803747237272103,0.5803747237272103,0.5803747237272103
soyb,dry,1994,0.5149145369468648,0.5149145369468648,0.5149145369468648,historical,1,0.3486472299194778,0.3486472299194778,0.3486472299194778
soyb,dry,1995,0.3331093159540294,0.3331093159540294,0.3331093159540294,historical,1,0.33297174329327356,0.33297174329327356,0.33297174329327356
soyb,dry,1996,0.2416531006466538,0.2416531006466538,0.2416531006466538,historical,1,0.3710300686721032,0.3710300686721032,0.3710300686721032
soyb,dry,1997,0.4099055347198901,0.4099055347198901,0.4099055347198901,historical,1,0.3830949999897307,0.3830949999897307,0.3830949999897307
